from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246103624610435+1866222+1,246104324610435+1865849+1,1,
33,33,,,246101524611765+1866223+1,246103624610435+1865882+1,1,
33,33,,,246108924610913+1866224+1,246108924610913+1865883+1,1,
33,33,,,246108924610914+1866224+1,246108924610914+1865883+1,1,
33,33,,,246103924610413+1866226+1,246103224610413+1865886+1,1,
33,33,,,246101524611765+1866266+1,246101524611765+1865910+1,1,
33,33,,,246100424610052+1866267+1,246100424610052+1865911+1,1,
33,33,,,246104624610564+1866267+1,246104624610564+1865911+1,1,
33,33,,,246109524611754+1866267+1,246109524611754+1865911+1,1,
33,33,,,246101124610282+1866270+1,246101124610282+1865911+1,1,
33,33,,,246104624610561+1866270+1,246104624610561+1865911+1,1,
33,33,,,246106724610843+1866270+1,246106724610843+1865911+1,1,
33,33,,,246108924610914+1866276+1,246108924610914+1865916+1,1,
33,33,,,246109524611752+1866276+1,246109524611752+1865916+1,1,
33,33,,,246103224610412+1866278+1,246103224610402+1865918+1,1,
33,33,,,246101524611765+1866284+1,246101524610295+1865939+1,1,
33,33,,,246100424610051+1866285+1,246100424610051+1865937+1,1,
33,33,,,246104624610561+1866285+1,246104624610561+1865937+1,1,
33,33,,,246109524611752+1866285+1,246109524611752+1865937+1,1,
33,33,,,246109524611753+1866285+1,246109524611753+1865937+1,1,
33,33,,,246100624610063+1866286+1,246100624610063+1865938+1,1,
33,33,,,246101124610283+1866293+1,246101124610283+1865947+1,1,
33,33,,,246103224610413+1866295+1,246103224610413+1865949+1,1,
33,33,,,246100424610051+1866301+0,246100424610051+1862950+0,1,
33,33,,,246100424610052+1866301+0,246100424610052+1862950+0,1,
33,33,,,246104624610563+1866301+0,246104624610563+1862950+0,1,
33,33,,,246104624610564+1866301+0,246104624610564+1862950+0,1,
33,33,,,246108924610913+1866301+0,246108924610913+1862950+0,1,
33,33,,,246103224610343+1866304+0,246103224610363+1862949+0,1,
33,33,,,246104624610561+1866306+0,246104624610561+1865962+0,1,
33,33,,,246106124610634+1866306+0,246106124610634+1865962+0,1,
33,33,,,246108924610914+1866306+0,246108924610914+1865962+0,1,
33,33,,,246100424610052+1866320+0,246100424610052+1865977+0,1,
33,33,,,246106124610632+1866320+0,246106124610632+1865977+0,1,
33,33,,,246109524611751+1866320+0,246109524611751+1865977+0,1,
33,33,,,246105024611765+1866322+0,246101524611765+1865976+0,1,
33,33,,,246106124610633+1866332+0,246106124610633+1865987+0,1,
33,33,,,246106124610634+1866332+0,246106124610634+1865987+0,1,
33,33,,,246106724610841+1866332+0,246106724610841+1865987+0,1,
33,33,,,246100624610063+1866333+0,246100624610063+1865988+0,1,
33,33,,,246103224610413+1866334+0,246103424610343+1865990+0,1,
33,33,,,246100124610015+1866344+0,246100124610015+1866001+0,1,
33,33,,,246100424610051+1866345+0,246100424610051+1866002+0,1,
33,33,,,246101124610284+1866345+0,246101124610284+1866002+0,1,
33,33,,,246104624610561+1866345+0,246104624610561+1866002+0,1,
33,33,,,246104624610564+1866345+0,246104624610564+1866002+0,1,
33,33,,,246106124610632+1866345+0,246106124610632+1866002+0,1,
33,33,,,246101524611765+1866349+0,246101524611765+1866011+0,1,
33,33,,,246104624610562+1866350+0,246104624610562+1866012+0,1,
33,33,,,246104624610563+1866350+0,246104624610563+1866012+0,1,
33,33,,,246103224610411+1866352+0,246103224610331+1866014+0,1,
33,33,,,246100124610015+1866359+0,246100124610015+1866026+0,1,
33,33,,,246100424610052+1866360+0,246100424610052+1866027+0,1,
33,33,,,246106724610842+1866360+0,246106724610842+1866027+0,1,
33,33,,,246109524611752+1866360+0,246109524611752+1866027+0,1,
33,33,,,246109524611754+1866360+0,246109524611754+1866027+0,1,
33,33,,,246104624610563+1866369+0,246104624610563+1866047+0,1,
33,33,,,246104624610564+1866369+0,246104624610564+1866047+0,1,
33,33,,,246103224610413+1866371+0,246103924610413+1866050+0,1,
33,33,,,246103924610411+1866654+0,246103224610411+1866066+0,1,
33,33,,,246106724610841+1866813+0,246106724610841+1866072+0,1,
33,33,,,246108924610912+1866813+0,246108924610912+1866072+0,1,
33,33,,,246109524611752+1866813+0,246109524611752+1866072+0,1,
33,33,,,246109524611753+1866813+0,246109524611753+1866072+0,1,
33,33,,,246104624610564+1866918+0,246104624610564+1866081+0,1,
33,33,,,246108924610913+1866918+0,246108924610913+1866081+0,1,
33,33,,,246109524611753+1866918+0,246109524611753+1866081+0,1,
33,33,,,246100324610037+1871949+0,246100324610037+1871445+0,1,
33,33,,,246103524610424+1871954+0,246103524610424+1871450+0,1,
33,33,,,246105124610586+1871954+0,246105124610586+1871450+0,1,
33,33,,,246103524610424+1871989+0,246103524610424+1871519+0,1,
33,33,,,246110024611776+1871989+0,246110024611776+1871519+0,1,
33,33,,,246106624610807+1872011+0,246106624610807+1871553+0,1,
33,33,,,246106624610807+1872045+0,246106624610807+1871587+0,1,
33,33,,,246109424611717+1872045+0,246109424611717+1871587+0,1,
33,33,,,246108824610931+1872046+0,246108824610931+1871588+0,1,
33,33,,,246106024610656+1872072+0,246106024610656+1871622+0,1,
33,33,,,246100224610026+1872102+0,246100224610026+1871685+0,1,
33,33,,,246106024610656+1872108+0,246106024610656+1871691+0,1,
33,33,,,246100924610306+1872124+0,246100924610306+1871725+0,1,
