service_id,date,exception_type
BFA25GEN-L053-Weekday-00_C62,20251225,2
BFA25GEN-L053-Weekday-00_C62,20260101,2
BFA25GEN-L053-Weekday-00_C62,20260119,2
BFA25GEN-L053-Weekday-00_C62,20260216,2
BFA25GEN-M027-Sunday-00_C44,20251127,1
BFA25GEN-M027-Sunday-00_C44,20251130,2
BFA25GEN-M027-Sunday-00_C44,20251207,2
BFA25GEN-M027-Sunday-00_C44,20251225,1
BFA25GEN-M027-Sunday-00_C44,20260101,1
BFA25GEN-M028-Saturday-00_C47,20251206,2
BFA25GEN-M028-Saturday-00_C47,20260119,1
BFA25GEN-M028-Saturday-00_C47,20260216,1
BFA25GEN-M093-Weekday-00_C11,20251127,2
BFA25GEN-M093-Weekday-00_C11,20251201,2
BFA25GEN-M093-Weekday-00_C11,20251202,2
BFA25GEN-M093-Weekday-00_C11,20251203,2
BFA25GEN-M093-Weekday-00_C11,20251204,2
BFA25GEN-M093-Weekday-00_C11,20251205,2
BFA25GEN-M093-Weekday-00_C11,20251208,2
BFA25GEN-M093-Weekday-00_C11,20251225,2
BFA25GEN-M093-Weekday-00_C11,20260101,2
BFA25GEN-M093-Weekday-00_C11,20260119,2
BFA25GEN-M093-Weekday-00_C11,20260216,2
BFA25GEN-N057-Saturday-00_C36,20251206,2
BFA25GEN-N057-Saturday-00_C36,20260119,1
BFA25GEN-N057-Saturday-00_C36,20260216,1
BFA25GEN-N060-Sunday-00_C4,20251127,1
BFA25GEN-N060-Sunday-00_C4,20251130,2
BFA25GEN-N060-Sunday-00_C4,20251207,2
BFA25GEN-N060-Sunday-00_C4,20251225,1
BFA25GEN-N060-Sunday-00_C4,20260101,1
BFA25GEN-N101-Weekday-00_C26,20251127,2
BFA25GEN-N101-Weekday-00_C26,20251201,2
BFA25GEN-N101-Weekday-00_C26,20251202,2
BFA25GEN-N101-Weekday-00_C26,20251203,2
BFA25GEN-N101-Weekday-00_C26,20251204,2
BFA25GEN-N101-Weekday-00_C26,20251205,2
BFA25GEN-N101-Weekday-00_C26,20251208,2
BFA25GEN-N101-Weekday-00_C26,20251225,2
BFA25GEN-N101-Weekday-00_C26,20260101,2
BFA25GEN-N101-Weekday-00_C26,20260119,2
BFA25GEN-N101-Weekday-00_C26,20260216,2
BFA25GEN-Q022-Saturday-00_C24,20251206,2
BFA25GEN-Q022-Saturday-00_C24,20260119,1
BFA25GEN-Q022-Saturday-00_C24,20260216,1
BFA25GEN-Q024-Sunday-00_C33,20251127,1
BFA25GEN-Q024-Sunday-00_C33,20251130,2
BFA25GEN-Q024-Sunday-00_C33,20251207,2
BFA25GEN-Q024-Sunday-00_C33,20251225,1
BFA25GEN-Q024-Sunday-00_C33,20260101,1
BFA25GEN-Q071-Weekday-00_C45,20251127,2
BFA25GEN-Q071-Weekday-00_C45,20251201,2
BFA25GEN-Q071-Weekday-00_C45,20251202,2
BFA25GEN-Q071-Weekday-00_C45,20251203,2
BFA25GEN-Q071-Weekday-00_C45,20251204,2
BFA25GEN-Q071-Weekday-00_C45,20251205,2
BFA25GEN-Q071-Weekday-00_C45,20251208,2
BFA25GEN-Q071-Weekday-00_C45,20251225,2
BFA25GEN-Q071-Weekday-00_C45,20260101,2
BFA25GEN-Q071-Weekday-00_C45,20260119,2
BFA25GEN-Q071-Weekday-00_C45,20260216,2
BFA25GEN-R052-Sunday-00_C41,20251127,1
BFA25GEN-R052-Sunday-00_C41,20251130,2
BFA25GEN-R052-Sunday-00_C41,20251225,1
BFA25GEN-R052-Sunday-00_C41,20260101,1
BFA25GEN-R053-Saturday-00_C1,20251206,2
BFA25GEN-R053-Saturday-00_C1,20260119,1
BFA25GEN-R053-Saturday-00_C1,20260216,1
BFA25GEN-R096-Weekday-00_C39,20251127,2
BFA25GEN-R096-Weekday-00_C39,20251201,2
BFA25GEN-R096-Weekday-00_C39,20251202,2
BFA25GEN-R096-Weekday-00_C39,20251203,2
BFA25GEN-R096-Weekday-00_C39,20251204,2
BFA25GEN-R096-Weekday-00_C39,20251205,2
BFA25GEN-R096-Weekday-00_C39,20251208,2
BFA25GEN-R096-Weekday-00_C39,20251225,2
BFA25GEN-R096-Weekday-00_C39,20260101,2
BFA25GEN-R096-Weekday-00_C39,20260119,2
BFA25GEN-R096-Weekday-00_C39,20260216,2
L0S1,20251204,1
L0S2,20251205,1
L0S3,20251206,1
L0S3 -1,20251205,1
L0S4,20251207,1
L0S5,20251208,1
L0S5 -1,20251207,1
L0S6,20251130,1
L0S7,20251201,1
L0S8,20251202,1
L0S9,20251203,1
L1S1,20251204,1
L1S1 -1,20251203,1
L1S2,20251205,1
L1S2 -1,20251204,1
L1S3,20251208,1
L1S4,20251130,1
L1S5,20251201,1
L1S5 -1,20251130,1
L1S6,20251202,1
L1S6 -1,20251201,1
L1S7,20251203,1
L1S7 -1,20251202,1
L2S1,20251204,1
L2S2,20251205,1
L2S3,20251201,1
L2S4,20251202,1
L2S5,20251203,1
L3S1,20251204,1
L3S2,20251202,1
L3S3,20251203,1
SIR-FA2017-SI017-Saturday-00_C15,20251206,2
SIR-FA2017-SI017-Saturday-00_C15,20260119,1
SIR-FA2017-SI017-Saturday-00_C15,20260216,1
SIR-FA2017-SI017-Sunday-00_C60,20251127,1
SIR-FA2017-SI017-Sunday-00_C60,20251207,2
SIR-FA2017-SI017-Sunday-00_C60,20251225,1
SIR-FA2017-SI017-Sunday-00_C60,20260101,1
SIR-FA2017-SI017-Sunday-00_C61,20251127,1
SIR-FA2017-SI017-Sunday-00_C61,20251130,2
